time,latitude,longitude
2022-12-07 13:32:24.0650,49.278370142028926,-122.91005585354092
2022-12-07 13:32:25.0580,49.27837705709904,-122.91000413719836
2022-12-07 13:32:26.0690,49.278378565841614,-122.9099585396451
2022-12-07 13:32:27.0590,49.278376931370495,-122.90992375474694
2022-12-07 13:32:28.0600,49.278375247573,-122.90990177945989
2022-12-07 13:32:29.0670,49.27837517390991,-122.90987333826672
2022-12-07 13:32:30.0660,49.278377730391306,-122.90984358252162
2022-12-07 13:32:31.0640,49.27838986377081,-122.90982303272827
2022-12-07 13:32:32.0600,49.2784032133518,-122.90980400194131
2022-12-07 13:32:33.0610,49.27841955252971,-122.90978710146446
2022-12-07 13:32:34.0490,49.278432312709135,-122.90977475802748
2022-12-07 13:32:35.0520,49.27843985325142,-122.90976591008379
2022-12-07 13:32:36.0410,49.27844613621449,-122.9097605129242
2022-12-07 13:32:37.0510,49.278442142577475,-122.90976122964446
2022-12-07 13:32:38.0540,49.27844335795345,-122.90975988853994
2022-12-07 13:32:39.0410,49.27844842900487,-122.90976181637767
2022-12-07 13:32:40.0600,49.27846715582784,-122.90976585186402
2022-12-07 13:32:41.0550,49.27848563876043,-122.90975882637792
2022-12-07 13:32:42.0550,49.278501624777554,-122.90975904556292
2022-12-07 13:32:43.0610,49.278512091999986,-122.90975162517326
2022-12-07 13:32:44.0630,49.27851191226029,-122.90974108474634
2022-12-07 13:32:45.0810,49.27853108218124,-122.90972928865894
2022-12-07 13:32:46.0640,49.278547355847174,-122.90972758020595
2022-12-07 13:32:47.0650,49.27855708227237,-122.90972359883806
2022-12-07 13:32:48.0640,49.27865773201474,-122.90966019870507
2022-12-07 13:32:49.0750,49.27869080922612,-122.90965729181536
2022-12-07 13:32:50.0450,49.27871590943945,-122.90964931352822
2022-12-07 13:32:51.0670,49.27873206036801,-122.90964611023722
2022-12-07 13:32:52.0620,49.27874309790835,-122.90963893557284
2022-12-07 13:32:53.0680,49.27877731047361,-122.90962599958554
2022-12-07 13:32:54.0640,49.27878924835671,-122.9095937928875
2022-12-07 13:32:55.0610,49.278777215663325,-122.90956564924373
2022-12-07 13:32:56.0650,49.278766057147095,-122.90954829785433
2022-12-07 13:32:57.0630,49.278760059409024,-122.90952358388222
2022-12-07 13:32:58.0510,49.278757352931294,-122.90950245905239
2022-12-07 13:32:59.0530,49.27875202919249,-122.90946830615829
2022-12-07 13:33:00.0630,49.27874798598285,-122.90944528495763
2022-12-07 13:33:01.0570,49.278745633397996,-122.90942921562558
2022-12-07 13:33:02.0680,49.27874200480954,-122.90941632343946
2022-12-07 13:33:03.0930,49.27873876548852,-122.9093974200938
2022-12-07 13:33:04.0640,49.278737657988074,-122.90937475600383
2022-12-07 13:33:05.0630,49.27873321161514,-122.90934891165212
2022-12-07 13:33:06.0660,49.278727301739295,-122.90933574714103
2022-12-07 13:33:07.0670,49.27872675625826,-122.90932280464854
2022-12-07 13:33:08.0650,49.27872326084663,-122.90930616627688
2022-12-07 13:33:09.0660,49.27872086606268,-122.90928840200478
2022-12-07 13:33:10.0630,49.27871606689641,-122.90926139863652
2022-12-07 13:33:11.0630,49.27871061142208,-122.90923982831181
2022-12-07 13:33:12.0580,49.27871040263204,-122.9092278641133
2022-12-07 13:33:13.0700,49.278706617660745,-122.90920049547137
2022-12-07 13:33:14.0680,49.27870478073797,-122.90918534942513
2022-12-07 13:33:15.0650,49.278701223706,-122.90917251648976
2022-12-07 13:33:16.0590,49.27869754442306,-122.90914667931297
2022-12-07 13:33:17.0720,49.27868895165198,-122.90912576019838
2022-12-07 13:33:18.0650,49.27868669091828,-122.90910388595816
2022-12-07 13:33:19.0650,49.27868183295466,-122.90908348474646
2022-12-07 13:33:20.0670,49.27867964542989,-122.9090663943522
2022-12-07 13:33:21.0690,49.2786789327761,-122.90904345216389
2022-12-07 13:33:22.0660,49.27867591960733,-122.90902349969042
2022-12-07 13:33:23.0620,49.27867375835073,-122.9090053704232
2022-12-07 13:33:24.0610,49.278671216741024,-122.90898339818268
2022-12-07 13:33:25.0610,49.27867008945174,-122.90895807364387
2022-12-07 13:33:26.0650,49.2786649955947,-122.90893909059508
2022-12-07 13:33:27.0650,49.27866042713687,-122.90890975984479
2022-12-07 13:33:28.0660,49.278647905339035,-122.90890486448059
2022-12-07 13:33:29.0650,49.278631396897524,-122.9089040942975
2022-12-07 13:33:30.0640,49.278618511997855,-122.90890782590104
2022-12-07 13:33:31.0690,49.278609127723406,-122.90891373144775
2022-12-07 13:33:32.0680,49.27859051005235,-122.90892352969442
2022-12-07 13:33:33.0630,49.278576519818145,-122.90893250881713
2022-12-07 13:33:34.0590,49.27856223688636,-122.90893723519457
2022-12-07 13:33:35.0580,49.2785500869489,-122.9089458091565
2022-12-07 13:33:36.0680,49.278535617480074,-122.90895036139486
2022-12-07 13:33:37.0600,49.278524505237286,-122.90895163100784
2022-12-07 13:33:38.0530,49.278508535470394,-122.90895229201361
2022-12-07 13:33:39.0520,49.27848833946951,-122.9089532861358
2022-12-07 13:33:40.0600,49.27847181588863,-122.90895854514011
2022-12-07 13:33:41.0600,49.27845246391858,-122.90896299166212
2022-12-07 13:33:42.0510,49.27843770699728,-122.9089670608363
2022-12-07 13:33:43.0590,49.2784184819168,-122.90896451405332
2022-12-07 13:33:44.0920,49.27840598264362,-122.90897795397602
2022-12-07 13:33:45.0500,49.27839487371069,-122.9089853219576
2022-12-07 13:33:46.0560,49.27837642986544,-122.90898574924164
2022-12-07 13:33:47.0590,49.27836070934514,-122.90899035092384
