time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-12-06 15:43:57.3380,-0.649,-0.711,-0.198,-1.15,-0.3,-0.1,0.38,-0.84,0.26
2022-12-06 15:43:57.3480,-0.738,-0.719,-0.188,-0.22,0.31,0.32,0.36,-0.89,0.24
2022-12-06 15:43:57.3580,-0.714,-0.677,-0.186,0.35,0.26,0.31,0.26,-0.93,0.37
2022-12-06 15:43:57.3690,-0.69,-0.666,-0.2,-0.25,-0.27,0.37,0.18,-0.85,0.49
2022-12-06 15:43:57.3790,-0.775,-0.734,-0.265,-0.02,0.15,0.79,0.23,-0.72,0.51
2022-12-06 15:43:57.3890,-0.85,-0.732,-0.313,0.8,0.63,1.57,0.32,-0.55,0.43
2022-12-06 15:43:57.3980,-0.856,-0.697,-0.223,1.32,0.39,1.64,0.37,-0.29,0.41
2022-12-06 15:43:57.4090,-0.842,-0.725,-0.145,1.15,0.3,0.59,0.41,-0.04,0.44
2022-12-06 15:43:57.4190,-0.84,-0.768,-0.148,1.03,0.68,0.22,0.47,0.28,0.43
2022-12-06 15:43:57.4280,-0.851,-0.846,-0.175,1.09,1.3,0.39,0.59,0.57,0.44
2022-12-06 15:43:57.4380,-0.811,-0.786,-0.195,0.92,1.76,0.69,0.73,0.83,0.34
2022-12-06 15:43:57.4490,-0.843,-0.707,-0.157,0.78,0.78,0.71,0.82,0.84,0.11
2022-12-06 15:43:57.4590,-0.74,-0.741,-0.022,0.94,0.55,-0.01,0.75,0.62,0.18
2022-12-06 15:43:57.4680,-0.576,-0.657,0.155,-0.86,0.52,-1.52,0.26,0.04,0.26
2022-12-06 15:43:57.4780,-0.622,-0.706,0.514,-1.57,-0.08,-3.82,-0.7,-0.3,-0.1
2022-12-06 15:43:57.4880,-0.769,-0.857,0.569,-0.78,0.98,-7.19,-1.88,0.75,-1.15
2022-12-06 15:43:57.5000,-0.824,-1.018,0.329,0.95,2.7,-5.75,-2.66,1.78,-2.05
2022-12-06 15:43:57.5090,-0.228,-0.699,-0.178,-0.79,2.38,-3.73,-0.21,0.16,-1.27
2022-12-06 15:43:57.5180,-0.173,-0.586,-0.858,-5.8,-0.25,3.38,1.12,-1.42,0.08
2022-12-06 15:43:57.5300,-0.432,-0.238,-0.482,-4.42,-2.18,6.34,0.86,-1.01,1.05
2022-12-06 15:43:57.5400,-0.74,-0.065,-0.041,-1.65,-5.35,1.25,0.1,-0.08,1.16
2022-12-06 15:43:57.5490,-0.919,-0.264,-0.103,1.02,-5.7,-1.36,-0.05,-0.41,0.9
2022-12-06 15:43:57.5590,-1.029,-0.606,-0.419,2.19,-2.59,0.88,0.45,-1.17,0.41
2022-12-06 15:43:57.5680,-1.056,-0.745,-0.444,3.23,0.23,3.38,0.88,-1.71,0.09
2022-12-06 15:43:57.5780,-0.819,-0.599,-0.262,2.48,0.58,2.61,0.99,-1.43,0.09
2022-12-06 15:43:57.5880,-0.552,-0.46,-0.149,-0.41,-1.56,1.1,0.5,-1.0,0.13
2022-12-06 15:43:57.5990,-0.516,-0.681,-0.179,-2.26,-1.39,0.53,0.08,-0.7,0.27
2022-12-06 15:43:57.6080,-0.597,-0.827,-0.436,-2.02,0.94,1.82,0.29,-0.57,0.36
2022-12-06 15:43:57.6180,-0.721,-0.787,-0.487,-1.06,1.69,4.24,0.63,-0.92,0.27
2022-12-06 15:43:57.6290,-0.836,-0.632,-0.327,0.17,0.72,3.6,0.79,-1.24,0.05
2022-12-06 15:43:57.6380,-0.88,-0.565,-0.311,1.08,-0.71,2.47,0.92,-1.66,-0.25
2022-12-06 15:43:57.6490,-0.846,-0.653,-0.433,1.22,-0.74,3.13,1.19,-2.24,-0.5
2022-12-06 15:43:57.6600,-0.773,-0.756,-0.594,0.71,0.34,4.8,1.52,-2.82,-0.65
2022-12-06 15:43:57.6690,-0.685,-0.779,-0.72,-0.03,1.04,6.58,1.81,-3.3,-0.7
2022-12-06 15:43:57.6790,-0.593,-0.752,-0.793,-0.87,0.96,7.98,1.89,-3.64,-0.81
2022-12-06 15:43:57.6900,-0.504,-0.741,-0.802,-1.65,0.68,8.85,1.89,-3.72,-1.21
2022-12-06 15:43:57.6990,-0.336,-0.651,-0.821,-2.61,0.4,9.25,1.85,-3.74,-1.75
2022-12-06 15:43:57.7080,-0.067,-0.431,-0.769,-4.45,-1.1,9.84,2.09,-3.29,-1.98
2022-12-06 15:43:57.7200,0.175,-0.229,-0.384,-7.11,-3.52,8.73,2.36,-2.46,-1.83
2022-12-06 15:43:57.7300,0.092,-0.177,0.274,-8.36,-5.07,3.88,2.07,-2.84,-1.31
2022-12-06 15:43:57.7390,-0.199,-0.337,0.709,-6.15,-5.02,-2.16,0.74,-4.81,-0.89
2022-12-06 15:43:57.7490,-0.227,-0.951,0.381,-3.51,-2.02,-3.44,-0.31,-5.23,-1.18
2022-12-06 15:43:57.7600,0.048,-1.771,-0.162,-4.71,5.37,1.8,-0.92,-3.59,-2.48
2022-12-06 15:43:57.7680,0.082,-1.985,-0.518,-6.35,12.1,6.84,-1.12,-2.35,-3.93
2022-12-06 15:43:57.7790,0.153,-1.383,-0.48,-6.25,10.25,9.07,-1.4,-2.25,-4.18
2022-12-06 15:43:57.7880,0.091,-0.913,-0.269,-6.31,3.65,7.57,-1.81,-2.77,-3.95
2022-12-06 15:43:57.8000,-0.074,-0.754,-0.161,-4.73,0.15,5.76,-2.3,-3.04,-3.83
2022-12-06 15:43:57.8090,-0.235,-0.764,-0.169,-2.63,-0.93,5.1,-2.72,-2.76,-3.94
2022-12-06 15:43:57.8190,-0.352,-0.827,-0.25,-0.76,-0.7,5.42,-2.93,-2.35,-4.04
2022-12-06 15:43:57.8280,-0.425,-0.816,-0.285,0.64,-0.51,6.04,-2.98,-2.2,-3.99
2022-12-06 15:43:57.8380,-0.473,-0.757,-0.19,1.66,-1.1,5.72,-3.07,-2.23,-3.84
2022-12-06 15:43:57.8500,-0.509,-0.73,-0.041,2.5,-1.82,4.22,-3.25,-2.2,-3.65
2022-12-06 15:43:57.8590,-0.529,-0.752,0.039,3.2,-2.06,2.67,-3.38,-2.11,-3.42
2022-12-06 15:43:57.8700,-0.55,-0.793,0.05,3.75,-1.88,1.93,-3.42,-2.02,-3.13
2022-12-06 15:43:57.8790,-0.592,-0.799,0.055,4.37,-1.64,1.6,-3.42,-2.02,-3.13
2022-12-06 15:43:57.8890,-0.651,-0.738,0.067,5.17,-1.94,1.21,-3.33,-2.02,-2.49
2022-12-06 15:43:57.9000,-0.705,-0.653,0.085,6.06,-2.76,0.76,-3.2,-1.95,-2.18
2022-12-06 15:43:57.9090,-0.708,-0.595,0.11,6.68,-3.6,0.25,-3.03,-1.78,-1.82
2022-12-06 15:43:57.9190,-0.677,-0.576,0.119,6.75,-4.05,-0.26,-2.78,-1.59,-1.39
2022-12-06 15:43:57.9290,-0.624,-0.591,0.102,6.54,-4.13,-0.53,-2.46,-1.48,-0.97
2022-12-06 15:43:57.9390,-0.549,-0.637,0.092,6.04,-3.88,-0.58,-2.14,-1.51,-0.57
2022-12-06 15:43:57.9480,-0.465,-0.717,0.119,5.32,-3.31,-0.84,-1.89,-1.6,-0.16
2022-12-06 15:43:57.9590,-0.387,-0.823,0.15,4.52,-2.41,-1.36,-1.72,-1.69,0.29
2022-12-06 15:43:57.9690,-0.346,-0.93,0.153,3.84,-1.32,-1.77,-1.6,-1.72,0.72
2022-12-06 15:43:57.9790,-0.366,-1.009,0.124,3.57,-0.35,-1.83,-1.47,-1.64,1.05
2022-12-06 15:43:57.9890,-0.441,-1.053,0.071,3.9,0.29,-1.61,-1.26,-1.42,1.28
2022-12-06 15:43:57.9980,-0.535,-1.085,0.008,4.63,0.66,-1.15,-1.26,-1.42,1.28
2022-12-06 15:43:58.0090,-0.62,-1.116,-0.028,5.38,0.97,-0.7,-0.96,-1.11,1.43
2022-12-06 15:43:58.0190,-0.692,-1.174,-0.039,6.04,1.34,-0.52,-0.31,-0.88,1.24
2022-12-06 15:43:58.0290,-0.705,-1.268,0.013,6.46,2.07,-0.59,-0.31,-0.88,1.24
2022-12-06 15:43:58.0390,-0.629,-1.324,0.174,6.16,3.0,-1.49,0.12,-0.87,0.9
2022-12-06 15:43:58.0560,-0.415,-1.185,0.587,2.03,0.74,-9.01,0.46,-0.77,0.16
2022-12-06 15:43:58.0570,0.047,-0.854,1.198,2.03,0.74,-9.01,0.29,-1.21,0.02
2022-12-06 15:43:58.0670,0.811,-0.619,1.117,-3.6,-2.51,-13.27,0.36,-2.03,0.15
2022-12-06 15:43:58.0790,1.758,-0.587,0.529,-12.05,-4.0,-9.64,0.7,-3.13,0.53
