time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-12-06 15:20:56.8120,0.516,-0.827,0.212,0.04,-0.01,-0.13,-0.02,-0.17,0.12
2022-12-06 15:20:56.8220,0.528,-0.829,0.208,0.05,-0.04,-0.19,-0.01,-0.22,0.14
2022-12-06 15:20:56.8320,0.545,-0.812,0.181,-0.1,-0.04,-0.12,0.01,-0.24,0.16
2022-12-06 15:20:56.8420,0.542,-0.8,0.182,-0.26,-0.22,0.12,0.01,-0.21,0.17
2022-12-06 15:20:56.8520,0.52,-0.811,0.197,-0.21,-0.33,0.05,-0.0,-0.2,0.13
2022-12-06 15:20:56.8620,0.469,-0.834,0.207,0.04,-0.2,-0.09,-0.02,-0.2,0.06
2022-12-06 15:20:56.8720,0.464,-0.837,0.193,0.53,0.01,-0.2,-0.02,-0.19,0.05
2022-12-06 15:20:56.8820,0.489,-0.833,0.188,0.5,0.02,-0.04,-0.02,-0.15,0.06
2022-12-06 15:20:56.8920,0.508,-0.841,0.188,0.27,-0.01,-0.03,-0.02,-0.09,0.06
2022-12-06 15:20:56.9020,0.509,-0.856,0.194,0.09,0.08,-0.04,-0.02,-0.03,0.05
2022-12-06 15:20:56.9140,0.489,-0.843,0.187,0.1,0.2,-0.09,-0.01,0.03,0.02
2022-12-06 15:20:56.9220,0.461,-0.818,0.182,0.33,0.06,-0.02,-0.01,0.03,0.02
2022-12-06 15:20:56.9320,0.446,-0.794,0.179,0.59,-0.21,0.04,0.02,0.09,-0.04
2022-12-06 15:20:56.9420,0.455,-0.783,0.17,0.72,-0.41,0.06,0.03,0.15,-0.06
2022-12-06 15:20:56.9520,0.446,-0.824,0.208,0.61,-0.5,0.16,-0.04,0.24,-0.13
2022-12-06 15:20:56.9620,0.429,-0.87,0.201,0.76,0.0,-0.28,-0.02,0.26,-0.19
2022-12-06 15:20:56.9720,0.492,-0.785,0.127,0.86,0.31,-0.02,-0.05,0.31,-0.21
2022-12-06 15:20:56.9820,0.511,-0.807,0.192,0.22,-0.53,0.58,-0.13,0.24,-0.22
2022-12-06 15:20:56.9920,0.508,-0.819,0.194,0.12,-0.19,-0.08,-0.1,0.17,-0.21
2022-12-06 15:20:57.0020,0.501,-0.73,0.108,0.17,-0.14,0.01,0.04,0.11,-0.22
2022-12-06 15:20:57.0120,0.484,-0.695,0.101,0.25,-1.14,0.92,0.09,0.13,-0.29
2022-12-06 15:20:57.0220,0.436,-0.848,0.152,0.49,-1.15,0.81,0.09,0.16,-0.41
2022-12-06 15:20:57.0320,0.446,-0.969,0.147,0.98,0.43,0.38,0.18,0.15,-0.43
2022-12-06 15:20:57.0420,0.54,-0.879,0.143,0.78,1.44,0.53,0.21,0.11,-0.3
2022-12-06 15:20:57.0520,0.607,-0.848,0.236,-0.16,0.45,0.44,0.1,-0.08,-0.26
2022-12-06 15:20:57.0620,0.417,-1.301,0.39,-0.66,0.36,-0.46,-0.3,-0.24,-0.39
2022-12-06 15:20:57.0720,0.214,-1.429,0.161,1.71,5.83,-2.17,0.12,0.12,-0.37
2022-12-06 15:20:57.0820,0.35,-0.343,-0.072,3.15,4.75,1.11,0.29,0.1,-0.37
2022-12-06 15:20:57.0920,0.316,-0.15,0.206,1.88,-5.39,2.26,0.27,0.24,-0.58
2022-12-06 15:20:57.1020,0.424,-0.467,0.156,2.36,-6.17,-0.13,0.37,0.31,-0.73
2022-12-06 15:20:57.1120,0.575,-0.738,0.088,1.05,-2.87,0.69,0.32,0.19,-0.74
2022-12-06 15:20:57.1220,0.501,-0.921,0.17,-0.09,-0.34,1.1,0.25,-0.03,-0.74
2022-12-06 15:20:57.1320,0.465,-0.953,0.157,0.79,1.4,0.39,0.26,-0.28,-0.7
2022-12-06 15:20:57.1420,0.521,-0.828,0.151,1.05,1.49,0.56,0.33,-0.4,-0.69
2022-12-06 15:20:57.1520,0.578,-0.731,0.169,0.54,0.28,0.6,0.37,-0.44,-0.73
2022-12-06 15:20:57.1620,0.59,-0.716,0.205,0.06,-0.53,0.39,0.38,-0.49,-0.8
2022-12-06 15:20:57.1720,0.524,-0.752,0.221,0.12,-0.53,0.04,0.38,-0.54,-0.84
2022-12-06 15:20:57.1820,0.464,-0.784,0.234,0.89,-0.11,-0.1,0.37,-0.57,-0.85
2022-12-06 15:20:57.1920,0.46,-0.798,0.24,1.5,0.25,-0.23,0.36,-0.56,-0.85
2022-12-06 15:20:57.2020,0.534,-0.76,0.223,1.52,0.4,-0.28,0.35,-0.48,-0.88
2022-12-06 15:20:57.2120,0.629,-0.687,0.171,0.81,0.03,-0.08,0.36,-0.42,-0.94
2022-12-06 15:20:57.2220,0.708,-0.674,0.142,-0.03,-0.61,0.45,0.39,-0.44,-0.93
2022-12-06 15:20:57.2320,0.759,-0.741,0.186,-0.7,-0.55,0.65,0.4,-0.51,-0.86
