datetime,Bx,By
2022-06-08 18:12:08+00:00,-18.43869375,3.84454375
2022-06-08 18:12:12+00:00,-18.379599731903486,5.868621179624665
2022-06-08 18:12:16+00:00,-19.161708943089433,-0.7927872628726287
2022-06-08 18:12:20+00:00,-13.347370133333333,-10.022273333333333
2022-06-08 18:12:24+00:00,-15.571638235294117,-10.951525401069519
2022-06-08 18:12:28+00:00,-14.98470875331565,-8.599750928381964
2022-06-08 18:12:32+00:00,5.567388346883469,-5.1073157181571815
2022-06-08 18:12:36+00:00,16.04436222826087,-1.2383133152173913
2022-06-08 18:12:40+00:00,17.998697282608696,-0.9299163043478261
2022-06-08 18:12:44+00:00,16.70122282608696,-1.7085016304347826
2022-06-08 18:12:48+00:00,-2.9251673076923077,-14.763333516483517
2022-06-08 18:12:52+00:00,-6.634517679558011,-18.60115690607735
2022-06-08 18:12:56+00:00,13.037417127071823,-6.792796132596686
2022-06-08 18:13:00+00:00,16.999691988950275,-0.4870875690607735
2022-06-08 18:13:04+00:00,15.333691460055096,0.9249589531680441
2022-06-08 18:13:08+00:00,18.063780108991825,-3.274316621253406
2022-06-08 18:13:12+00:00,18.13985822102426,-1.544376010781671
2022-06-08 18:13:16+00:00,19.142755675675676,-3.9151735135135133
2022-06-08 18:13:20+00:00,21.270608894878706,-1.2072366576819407
2022-06-08 18:13:24+00:00,17.323513746630727,-2.9353730458221023
2022-06-08 18:13:28+00:00,18.32554945652174,-0.5943434782608695
2022-06-08 18:13:32+00:00,17.879503814713896,-1.340965122615804
2022-06-08 18:13:36+00:00,18.713526133333332,-1.9176122666666666
2022-06-08 18:13:40+00:00,18.467228493150685,-0.4001843835616438
2022-06-08 18:13:44+00:00,16.8522773480663,-1.4786740331491712
2022-06-08 18:13:48+00:00,17.196009239130436,-2.9104480978260874
2022-06-08 18:13:52+00:00,17.497058221024258,-2.5222752021563344
2022-06-08 18:13:56+00:00,19.105145504087194,-5.057869209809264
2022-06-08 18:14:00+00:00,18.419698360655737,-1.8529398907103827
2022-06-08 18:14:04+00:00,17.177934877384196,-1.2647455040871936
2022-06-08 18:14:08+00:00,19.854371584699454,0.4704964480874317
2022-06-08 18:14:12+00:00,19.225089945652172,-2.2349296195652175
2022-06-08 18:14:16+00:00,20.069077049180326,0.23140983606557378
2022-06-08 18:14:20+00:00,17.631790566037736,-0.71578948787062
2022-06-08 18:14:24+00:00,19.03661793478261,-3.262567663043478
2022-06-08 18:14:28+00:00,15.502397826086957,-0.5415103260869565
2022-06-08 18:14:32+00:00,-4.340440489130435,-12.102429619565216
2022-06-08 18:14:36+00:00,-3.370069066666667,-14.7241216
2022-06-08 18:14:40+00:00,-3.613214555256065,-14.13322884097035
2022-06-08 18:14:44+00:00,-2.229615702479339,-14.325954269972451
2022-06-08 18:14:48+00:00,-3.0394040650406504,-16.431830623306233
2022-06-08 18:14:52+00:00,-4.942313351498638,-14.840215803814713
2022-06-08 18:14:56+00:00,-3.034932872928177,-13.895430386740331
2022-06-08 18:15:00+00:00,-3.880188121546962,-13.972868508287291
2022-06-08 18:15:04+00:00,-4.093632596685083,-15.739148066298343
2022-06-08 18:15:08+00:00,-6.361011263736264,-16.199412087912087
2022-06-08 18:15:12+00:00,-6.885639946380697,-15.581017962466486
2022-06-08 18:15:16+00:00,-6.93340962566845,-14.955352139037434
2022-06-08 18:15:20+00:00,10.057170731707316,-7.108909485094851
